datetime,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2017-01-02 12:00:00,33685,2017,1,2,12,58.0,247.0,12.0,76.0,100.0,46.0,4.9,1022.8,-7.3,0.0,SW,2.8,Aotizhongxin
2017-01-02 13:00:00,33686,2017,1,2,13,176.0,176.0,17.0,99.0,100.0,42.0,6.7,1021.8,-8.5,0.0,SW,2.3,Aotizhongxin
2017-01-02 14:00:00,33687,2017,1,2,14,109.0,211.0,14.0,86.0,100.0,58.0,8.2,1021.0,-7.5,0.0,SSW,1.7,Aotizhongxin
2017-01-02 15:00:00,33688,2017,1,2,15,267.0,267.0,19.0,125.0,100.0,53.0,6.3,1020.6,-4.8,0.0,S,1.9,Aotizhongxin
2017-01-02 16:00:00,33689,2017,1,2,16,260.0,260.0,18.0,115.0,100.0,56.0,5.3,1020.8,-6.9,0.0,SW,2.2,Aotizhongxin
2017-01-02 17:00:00,33690,2017,1,2,17,212.0,212.0,14.0,112.0,100.0,50.0,3.6,1020.8,-7.5,0.0,SW,1.9,Aotizhongxin
2017-01-02 18:00:00,33691,2017,1,2,18,183.0,183.0,14.0,111.0,100.0,33.0,3.5,1021.1,-9.5,0.0,SW,2.0,Aotizhongxin
2017-01-02 19:00:00,33692,2017,1,2,19,136.0,136.0,14.0,89.0,100.0,41.0,2.9,1021.2,-9.1,0.0,WSW,2.3,Aotizhongxin
2017-01-02 20:00:00,33693,2017,1,2,20,137.0,137.0,13.0,89.0,100.0,35.0,2.9,1021.1,-9.4,0.0,WSW,2.1,Aotizhongxin
2017-01-02 21:00:00,33694,2017,1,2,21,125.0,125.0,13.0,90.0,100.0,28.0,-0.6,1020.8,-9.3,0.0,SW,0.2,Aotizhongxin
2017-01-02 22:00:00,33695,2017,1,2,22,153.0,153.0,14.0,108.0,100.0,13.0,-1.6,1020.7,-7.9,0.0,ENE,0.8,Aotizhongxin
2017-01-02 23:00:00,33696,2017,1,2,23,165.0,165.0,14.0,126.0,100.0,2.0,-2.3,1020.5,-7.2,0.0,ENE,0.7,Aotizhongxin
2017-01-03 00:00:00,33697,2017,1,3,0,225.0,225.0,23.0,148.0,100.0,4.0,-3.4,1020.2,-7.0,0.0,E,0.8,Aotizhongxin
2017-01-03 01:00:00,33698,2017,1,3,1,275.0,275.0,28.0,158.0,100.0,7.0,-3.6,1019.8,-6.6,0.0,ENE,0.8,Aotizhongxin
2017-01-03 02:00:00,33699,2017,1,3,2,293.0,293.0,17.0,155.0,100.0,5.0,-4.5,1019.7,-7.1,0.0,NE,0.9,Aotizhongxin
2017-01-03 03:00:00,33700,2017,1,3,3,293.0,293.0,16.0,153.0,100.0,5.0,-4.8,1019.7,-7.1,0.0,ENE,0.9,Aotizhongxin
2017-01-03 04:00:00,33701,2017,1,3,4,287.0,287.0,15.0,149.0,100.0,59.0,-5.3,1019.3,-7.4,0.0,ENE,0.7,Aotizhongxin
2017-01-03 05:00:00,33702,2017,1,3,5,305.0,305.0,13.0,149.0,100.0,4.0,-4.9,1018.5,-6.9,0.0,ENE,0.5,Aotizhongxin
2017-01-03 06:00:00,33703,2017,1,3,6,304.0,304.0,12.0,148.0,100.0,3.0,-4.7,1018.3,-6.7,0.0,E,0.3,Aotizhongxin
2017-01-03 07:00:00,33704,2017,1,3,7,266.0,266.0,12.0,139.0,100.0,3.0,-4.5,1018.7,-6.5,0.0,NW,0.4,Aotizhongxin
2017-01-03 08:00:00,33705,2017,1,3,8,240.0,240.0,17.0,132.0,100.0,3.0,-5.4,1019.0,-7.1,0.0,E,1.1,Aotizhongxin
2017-01-03 09:00:00,33706,2017,1,3,9,237.0,237.0,29.0,131.0,100.0,4.0,-2.5,1019.5,-6.0,0.0,NW,0.6,Aotizhongxin
2017-01-03 10:00:00,33707,2017,1,3,10,232.0,232.0,32.0,117.0,100.0,7.0,1.0,1019.6,-5.5,0.0,ESE,0.4,Aotizhongxin
2017-01-03 11:00:00,33708,2017,1,3,11,155.0,155.0,27.0,88.0,100.0,19.0,3.0,1019.2,-8.4,0.0,N,1.0,Aotizhongxin
2017-01-03 12:00:00,33709,2017,1,3,12,167.0,167.0,31.0,98.0,100.0,25.0,5.3,1018.0,-7.9,0.0,WNW,0.9,Aotizhongxin
2017-01-03 13:00:00,33710,2017,1,3,13,170.0,170.0,28.0,100.0,100.0,35.0,6.9,1016.9,-7.5,0.0,S,1.0,Aotizhongxin
2017-01-03 14:00:00,33711,2017,1,3,14,179.0,179.0,27.0,127.0,100.0,26.0,8.7,1016.1,-5.9,0.0,SW,0.9,Aotizhongxin
2017-01-03 15:00:00,33712,2017,1,3,15,244.0,244.0,28.0,183.0,100.0,15.0,7.2,1016.2,-3.4,0.0,SE,1.5,Aotizhongxin
2017-01-03 16:00:00,33713,2017,1,3,16,296.0,334.0,26.0,190.0,100.0,16.0,6.1,1016.4,-3.8,0.0,SW,1.1,Aotizhongxin
2017-01-03 17:00:00,33714,2017,1,3,17,295.0,295.0,27.0,2.0,100.0,41.0,2.8,1017.0,-4.2,0.0,SE,0.9,Aotizhongxin
2017-01-03 18:00:00,33715,2017,1,3,18,328.0,356.0,3.0,191.0,100.0,3.0,0.7,1017.9,-4.5,0.0,ENE,0.7,Aotizhongxin
2017-01-03 19:00:00,33716,2017,1,3,19,384.0,420.0,20.0,199.0,100.0,3.0,0.5,1018.8,-4.2,0.0,E,1.2,Aotizhongxin
2017-01-03 20:00:00,33717,2017,1,3,20,384.0,448.0,16.0,199.0,100.0,2.0,-0.8,1019.4,-4.2,0.0,SE,0.1,Aotizhongxin
2017-01-03 21:00:00,33718,2017,1,3,21,384.0,476.0,13.0,195.0,100.0,2.0,-1.6,1019.5,-4.1,0.0,E,0.9,Aotizhongxin
2017-01-03 22:00:00,33719,2017,1,3,22,384.0,476.0,12.0,200.0,100.0,3.0,-2.1,1020.1,-4.0,0.0,E,0.9,Aotizhongxin
2017-01-03 23:00:00,33720,2017,1,3,23,384.0,476.0,11.0,196.0,100.0,3.0,-2.4,1020.4,-3.8,0.0,NE,1.1,Aotizhongxin
2017-01-04 00:00:00,33721,2017,1,4,0,384.0,476.0,10.0,188.0,100.0,2.0,-2.9,1020.7,-4.2,0.0,SW,0.1,Aotizhongxin
2017-01-04 01:00:00,33722,2017,1,4,1,384.0,476.0,9.0,190.0,100.0,2.0,-3.5,1020.8,-4.6,0.0,E,0.8,Aotizhongxin
2017-01-04 02:00:00,33723,2017,1,4,2,384.0,467.0,9.0,179.0,100.0,35.0,-3.2,1020.9,-4.2,0.0,ENE,1.2,Aotizhongxin
2017-01-04 03:00:00,33724,2017,1,4,3,384.0,476.0,11.0,193.0,100.0,2.0,-4.2,1021.1,-5.3,0.0,E,0.9,Aotizhongxin
2017-01-04 04:00:00,33725,2017,1,4,4,384.0,476.0,11.0,195.0,100.0,35.0,-4.3,1021.2,-5.3,0.0,E,0.7,Aotizhongxin
2017-01-04 05:00:00,33726,2017,1,4,5,384.0,476.0,10.0,180.0,100.0,3.0,-4.5,1021.0,-5.5,0.0,NW,0.0,Aotizhongxin
2017-01-04 06:00:00,33727,2017,1,4,6,384.0,476.0,12.0,196.0,100.0,4.0,-4.8,1020.8,-5.8,0.0,ESE,0.0,Aotizhongxin
2017-01-04 07:00:00,33728,2017,1,4,7,384.0,392.0,12.0,158.0,100.0,2.0,-4.8,1021.4,-5.8,0.0,ESE,1.2,Aotizhongxin
2017-01-04 08:00:00,33729,2017,1,4,8,338.0,338.0,15.0,149.0,100.0,2.0,-4.5,1022.0,-5.5,0.0,E,0.4,Aotizhongxin
2017-01-04 09:00:00,33730,2017,1,4,9,338.0,342.0,14.0,156.0,100.0,3.0,-2.9,1022.5,-4.2,0.0,E,0.7,Aotizhongxin
2017-01-04 10:00:00,33731,2017,1,4,10,384.0,469.0,18.0,208.0,100.0,4.0,0.0,1022.8,-3.0,0.0,E,1.2,Aotizhongxin
2017-01-04 11:00:00,33732,2017,1,4,11,333.0,333.0,27.0,154.0,100.0,9.0,1.8,1022.9,-6.1,0.0,E,1.8,Aotizhongxin
2017-01-04 12:00:00,33733,2017,1,4,12,167.0,167.0,30.0,107.0,100.0,17.0,3.6,1021.9,-5.4,0.0,ESE,1.7,Aotizhongxin
2017-01-04 13:00:00,33734,2017,1,4,13,216.0,216.0,31.0,131.0,100.0,27.0,4.9,1021.6,-5.2,0.0,SE,1.4,Aotizhongxin
2017-01-04 14:00:00,33735,2017,1,4,14,291.0,291.0,31.0,167.0,100.0,23.0,5.4,1020.9,-5.3,0.0,E,1.9,Aotizhongxin
2017-01-04 15:00:00,33736,2017,1,4,15,325.0,331.0,37.0,179.0,100.0,20.0,5.8,1020.7,-4.7,0.0,ESE,1.7,Aotizhongxin
2017-01-04 16:00:00,33737,2017,1,4,16,367.0,367.0,43.0,179.0,100.0,16.0,5.2,1020.8,-4.7,0.0,ESE,1.3,Aotizhongxin
2017-01-04 17:00:00,33738,2017,1,4,17,322.0,322.0,40.0,179.0,100.0,7.0,1.9,1021.5,-4.6,0.0,E,0.7,Aotizhongxin
2017-01-04 18:00:00,33739,2017,1,4,18,298.0,298.0,29.0,175.0,100.0,2.0,2.0,1022.0,-3.1,0.0,SE,1.0,Aotizhongxin
2017-01-04 19:00:00,33740,2017,1,4,19,304.0,304.0,26.0,176.0,100.0,2.0,0.8,1022.6,-3.1,0.0,ESE,1.1,Aotizhongxin
2017-01-04 20:00:00,33741,2017,1,4,20,346.0,346.0,18.0,186.0,100.0,2.0,-0.6,1023.2,-3.5,0.0,E,1.4,Aotizhongxin
2017-01-04 21:00:00,33742,2017,1,4,21,356.0,356.0,14.0,180.0,100.0,2.0,-1.0,1023.8,-3.2,0.0,ESE,1.6,Aotizhongxin
2017-01-04 22:00:00,33743,2017,1,4,22,380.0,380.0,10.0,164.0,100.0,2.0,-1.5,1024.1,-2.5,0.0,E,2.4,Aotizhongxin
2017-01-04 23:00:00,33744,2017,1,4,23,328.0,328.0,8.0,134.0,100.0,2.0,-1.4,1024.7,-2.2,0.0,ESE,1.6,Aotizhongxin
2017-01-05 00:00:00,33745,2017,1,5,0,203.0,203.0,7.0,114.0,100.0,2.0,-1.0,1025.0,-1.7,0.0,ESE,2.8,Aotizhongxin
2017-01-05 01:00:00,33746,2017,1,5,1,168.0,168.0,9.0,112.0,100.0,2.0,-1.0,1025.2,-1.8,0.0,ESE,0.7,Aotizhongxin
2017-01-05 02:00:00,33747,2017,1,5,2,159.0,159.0,5.0,114.0,100.0,2.0,-0.6,1025.4,-1.7,0.0,ENE,1.0,Aotizhongxin
2017-01-05 03:00:00,33748,2017,1,5,3,168.0,168.0,5.0,114.0,100.0,2.0,0.1,1025.8,-1.3,0.0,NE,0.9,Aotizhongxin
2017-01-05 04:00:00,33749,2017,1,5,4,175.0,175.0,6.0,114.0,100.0,27.0,0.3,1025.7,-1.3,0.0,NNE,1.4,Aotizhongxin
2017-01-05 05:00:00,33750,2017,1,5,5,256.0,360.0,6.0,126.0,100.0,2.0,0.5,1025.9,-1.1,0.0,NNE,2.2,Aotizhongxin
2017-01-05 06:00:00,33751,2017,1,5,6,336.0,401.0,6.0,133.0,100.0,2.0,0.1,1026.4,-1.5,0.0,NE,1.2,Aotizhongxin
2017-01-05 07:00:00,33752,2017,1,5,7,284.0,324.0,7.0,132.0,100.0,2.0,0.4,1026.7,-1.4,0.0,NNE,1.4,Aotizhongxin
2017-01-05 08:00:00,33753,2017,1,5,8,275.0,275.0,9.0,133.0,100.0,2.0,0.4,1027.6,-1.5,0.0,ENE,1.4,Aotizhongxin
2017-01-05 09:00:00,33754,2017,1,5,9,271.0,271.0,11.0,135.0,100.0,2.0,0.5,1028.2,-1.6,0.0,NE,1.2,Aotizhongxin
2017-01-05 10:00:00,33755,2017,1,5,10,276.0,276.0,12.0,134.0,100.0,2.0,1.0,1028.7,-1.6,0.0,ENE,1.3,Aotizhongxin
2017-01-05 11:00:00,33756,2017,1,5,11,267.0,267.0,11.0,132.0,100.0,2.0,1.8,1028.5,-1.1,0.0,SE,0.4,Aotizhongxin
2017-01-05 12:00:00,33757,2017,1,5,12,249.0,249.0,11.0,129.0,100.0,2.0,2.8,1027.6,-1.6,0.0,NE,0.9,Aotizhongxin
2017-01-05 13:00:00,33758,2017,1,5,13,239.0,239.0,12.0,121.0,100.0,3.0,3.3,1026.7,-2.2,0.0,ENE,1.2,Aotizhongxin
2017-01-05 14:00:00,33759,2017,1,5,14,223.0,223.0,13.0,112.0,100.0,20.0,3.8,1026.0,-3.7,0.0,NE,1.2,Aotizhongxin
2017-01-05 15:00:00,33760,2017,1,5,15,206.0,206.0,15.0,105.0,100.0,16.0,3.5,1026.1,-4.0,0.0,ENE,1.2,Aotizhongxin
2017-01-05 16:00:00,33761,2017,1,5,16,162.0,162.0,20.0,96.0,100.0,13.0,3.4,1026.3,-4.1,0.0,NE,0.7,Aotizhongxin
2017-01-05 17:00:00,33762,2017,1,5,17,184.0,184.0,21.0,110.0,100.0,3.0,3.1,1026.1,-3.7,0.0,ENE,0.9,Aotizhongxin
2017-01-05 18:00:00,33763,2017,1,5,18,183.0,183.0,21.0,119.0,100.0,2.0,1.9,1026.6,-3.6,0.0,ENE,0.6,Aotizhongxin
2017-01-05 19:00:00,33764,2017,1,5,19,191.0,199.0,20.0,122.0,100.0,2.0,2.2,1026.6,-3.7,0.0,NE,1.5,Aotizhongxin
2017-01-05 20:00:00,33765,2017,1,5,20,219.0,219.0,17.0,126.0,100.0,2.0,0.7,1026.4,-3.8,0.0,NE,1.1,Aotizhongxin
2017-01-05 21:00:00,33766,2017,1,5,21,199.0,199.0,16.0,122.0,100.0,2.0,-0.4,1026.3,-4.3,0.0,E,0.7,Aotizhongxin
2017-01-05 22:00:00,33767,2017,1,5,22,180.0,180.0,15.0,116.0,100.0,2.0,-1.5,1026.4,-4.7,0.0,WNW,0.2,Aotizhongxin
2017-01-05 23:00:00,33768,2017,1,5,23,184.0,184.0,12.0,116.0,100.0,2.0,-2.1,1026.2,-4.9,0.0,ESE,0.6,Aotizhongxin
2017-01-06 00:00:00,33769,2017,1,6,0,184.0,184.0,10.0,111.0,100.0,2.0,-2.3,1025.9,-4.5,0.0,SW,0.2,Aotizhongxin
2017-01-06 01:00:00,33770,2017,1,6,1,184.0,184.0,10.0,111.0,100.0,2.0,-2.9,1025.3,-4.9,0.0,ENE,0.2,Aotizhongxin
2017-01-06 02:00:00,33771,2017,1,6,2,176.0,176.0,12.0,103.0,100.0,2.0,-2.1,1025.2,-3.8,0.0,SE,0.2,Aotizhongxin
2017-01-06 03:00:00,33772,2017,1,6,3,159.0,159.0,14.0,98.0,100.0,2.0,-1.3,1025.1,-3.8,0.0,SE,0.0,Aotizhongxin
2017-01-06 04:00:00,33773,2017,1,6,4,158.0,158.0,18.0,100.0,100.0,13.0,-2.7,1024.6,-4.6,0.0,ENE,1.2,Aotizhongxin
2017-01-06 05:00:00,33774,2017,1,6,5,171.0,171.0,20.0,101.0,100.0,2.0,-2.8,1024.4,-4.2,0.0,ENE,1.3,Aotizhongxin
2017-01-06 06:00:00,33775,2017,1,6,6,169.0,169.0,20.0,100.0,100.0,2.0,-2.8,1024.3,-3.9,0.0,NNE,0.3,Aotizhongxin
2017-01-06 07:00:00,33776,2017,1,6,7,177.0,177.0,24.0,94.0,100.0,2.0,-2.1,1024.5,-3.2,0.0,NNW,0.0,Aotizhongxin
2017-01-06 08:00:00,33777,2017,1,6,8,170.0,170.0,26.0,94.0,100.0,2.0,-2.0,1024.6,-3.3,0.0,ENE,0.7,Aotizhongxin
2017-01-06 09:00:00,33778,2017,1,6,9,175.0,175.0,30.0,97.0,100.0,2.0,-0.2,1024.9,-2.4,0.0,E,1.1,Aotizhongxin
2017-01-06 10:00:00,33779,2017,1,6,10,211.0,211.0,31.0,105.0,100.0,2.0,1.1,1024.9,-2.8,0.0,E,0.9,Aotizhongxin
2017-01-06 11:00:00,33780,2017,1,6,11,216.0,216.0,29.0,101.0,100.0,6.0,2.6,1024.6,-3.3,0.0,E,1.2,Aotizhongxin
2017-01-06 12:00:00,33781,2017,1,6,12,193.0,193.0,29.0,92.0,100.0,16.0,3.5,1023.4,-3.3,0.0,ENE,2.0,Aotizhongxin
2017-01-06 13:00:00,33782,2017,1,6,13,188.0,188.0,31.0,88.0,100.0,25.0,4.0,1022.1,-3.3,0.0,ENE,2.0,Aotizhongxin
2017-01-06 14:00:00,33783,2017,1,6,14,200.0,200.0,33.0,113.0,100.0,16.0,4.5,1021.3,-3.3,0.0,ENE,1.3,Aotizhongxin
2017-01-06 15:00:00,33784,2017,1,6,15,214.0,214.0,31.0,130.0,100.0,10.0,4.9,1020.8,-3.2,0.0,ENE,0.5,Aotizhongxin
2017-01-06 16:00:00,33785,2017,1,6,16,215.0,215.0,27.0,131.0,100.0,5.0,4.2,1020.6,-3.3,0.0,ENE,1.2,Aotizhongxin
2017-01-06 17:00:00,33786,2017,1,6,17,221.0,221.0,21.0,139.0,100.0,2.0,3.0,1020.7,-3.4,0.0,NE,1.3,Aotizhongxin
2017-01-06 18:00:00,33787,2017,1,6,18,211.0,211.0,17.0,140.0,100.0,2.0,0.7,1021.1,-3.4,0.0,ENE,0.7,Aotizhongxin
2017-01-06 19:00:00,33788,2017,1,6,19,217.0,217.0,17.0,146.0,100.0,2.0,1.0,1021.3,-2.9,0.0,SW,0.0,Aotizhongxin
2017-01-06 20:00:00,33789,2017,1,6,20,220.0,220.0,22.0,152.0,100.0,2.0,1.5,1021.3,-2.8,0.0,NE,0.6,Aotizhongxin
2017-01-06 21:00:00,33790,2017,1,6,21,235.0,235.0,24.0,157.0,100.0,2.0,2.6,1021.2,-2.7,0.0,NNE,1.1,Aotizhongxin
2017-01-06 22:00:00,33791,2017,1,6,22,239.0,239.0,25.0,153.0,100.0,2.0,2.0,1021.0,-2.9,0.0,ENE,0.7,Aotizhongxin
2017-01-06 23:00:00,33792,2017,1,6,23,235.0,235.0,31.0,126.0,100.0,2.0,2.4,1020.9,-2.9,0.0,NE,1.2,Aotizhongxin
2017-01-07 00:00:00,33793,2017,1,7,0,241.0,241.0,38.0,123.0,100.0,2.0,2.0,1020.5,-2.9,0.0,ENE,0.8,Aotizhongxin
2017-01-07 01:00:00,33794,2017,1,7,1,239.0,239.0,45.0,120.0,100.0,2.0,1.4,1020.2,-3.9,0.0,NE,1.3,Aotizhongxin
2017-01-07 02:00:00,33795,2017,1,7,2,224.0,224.0,39.0,116.0,100.0,2.0,1.2,1020.4,-3.7,0.0,E,0.9,Aotizhongxin
2017-01-07 03:00:00,33796,2017,1,7,3,208.0,208.0,31.0,105.0,100.0,2.0,0.8,1020.2,-3.3,0.0,ESE,1.2,Aotizhongxin
2017-01-07 04:00:00,33797,2017,1,7,4,206.0,206.0,26.0,91.0,100.0,25.0,0.7,1020.0,-3.4,0.0,NE,0.6,Aotizhongxin
2017-01-07 05:00:00,33798,2017,1,7,5,200.0,200.0,25.0,96.0,100.0,2.0,1.0,1019.7,-3.5,0.0,E,0.7,Aotizhongxin
2017-01-07 06:00:00,33799,2017,1,7,6,181.0,181.0,24.0,87.0,100.0,2.0,0.8,1019.8,-3.0,0.0,ESE,0.8,Aotizhongxin
2017-01-07 07:00:00,33800,2017,1,7,7,173.0,173.0,21.0,86.0,100.0,2.0,0.9,1020.1,-3.4,0.0,ESE,0.5,Aotizhongxin
2017-01-07 08:00:00,33801,2017,1,7,8,166.0,166.0,17.0,82.0,100.0,2.0,1.5,1020.1,-3.2,0.0,NE,0.9,Aotizhongxin
2017-01-07 09:00:00,33802,2017,1,7,9,154.0,154.0,20.0,82.0,100.0,2.0,2.0,1020.9,-3.5,0.0,ENE,2.0,Aotizhongxin
2017-01-07 10:00:00,33803,2017,1,7,10,142.0,142.0,21.0,73.0,100.0,4.0,2.1,1021.2,-3.6,0.0,NNE,1.0,Aotizhongxin
2017-01-07 11:00:00,33804,2017,1,7,11,167.0,167.0,24.0,77.0,100.0,9.0,2.6,1021.1,-3.3,0.0,ENE,1.8,Aotizhongxin
2017-01-07 12:00:00,33805,2017,1,7,12,196.0,196.0,24.0,83.0,100.0,12.0,2.1,1020.2,-1.3,0.0,ENE,1.7,Aotizhongxin
2017-01-07 13:00:00,33806,2017,1,7,13,184.0,184.0,17.0,75.0,100.0,15.0,1.7,1019.4,-0.2,0.0,NE,1.7,Aotizhongxin
2017-01-07 14:00:00,33807,2017,1,7,14,156.0,156.0,10.0,68.0,100.0,11.0,1.7,1019.1,0.2,0.0,NE,1.2,Aotizhongxin
2017-01-07 15:00:00,33808,2017,1,7,15,115.0,115.0,8.0,65.0,100.0,7.0,1.9,1019.2,0.4,0.0,ENE,1.1,Aotizhongxin
2017-01-07 16:00:00,33809,2017,1,7,16,99.0,99.0,9.0,73.0,100.0,2.0,2.2,1019.3,0.9,0.0,ESE,1.4,Aotizhongxin
2017-01-07 17:00:00,33810,2017,1,7,17,95.0,95.0,8.0,67.0,100.0,13.0,2.1,1019.6,0.8,0.0,ESE,1.5,Aotizhongxin
2017-01-07 18:00:00,33811,2017,1,7,18,102.0,102.0,7.0,83.0,100.0,3.0,1.9,1019.8,0.6,0.0,E,1.1,Aotizhongxin
2017-01-07 19:00:00,33812,2017,1,7,19,96.0,96.0,6.0,71.0,100.0,7.0,1.8,1020.4,0.3,0.0,ENE,0.1,Aotizhongxin
2017-01-07 20:00:00,33813,2017,1,7,20,100.0,100.0,7.0,82.0,100.0,2.0,1.8,1020.3,0.5,0.0,E,0.9,Aotizhongxin
